Name,Potions,Defense Against the Dark Arts,Care of Magical Creatures,Transfiguration,Herbology
Harry Potter,85,92,90,92,88
Hermione Granger,91,90,86,95,90
Ron Weasley,92,86,88,89,93
Draco Malfoy,84,80,82,84,
Neville Longbottom,89,84,84,85,84
Dean Thomas,84,84,88,,86
Seamus Finnigan,91,86,86,87,91
Lavender Brown,83,83,92,90,93
Fred Weasley,90,80,85,88,84
Oliver Wood,76,,84,86,91
Katie Bell,75,88,82,85,78
Parvati Patil,90,85,78,87,86
Romilda Vane,75,78,80,85,75
Luna Lovegood,80,81,85,83,84
Alicia Spinnet,95,84,80,90,95
